Order ID,Customer Name,Category,Sub Category,City,Region,Sales,Discount,Profit,State,Order Year,Order month,Order day
OD1,Harish,Oil & Masala,Masalas,Vellore,North,1254.0,0.12,401.28,Tamil Nadu,2017,11,8
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,South,749.0,0.18,149.8,Tamil Nadu,2017,11,8
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,West,2360.0,0.21,165.2,Tamil Nadu,2017,6,12
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,South,896.0,0.25,89.6,Tamil Nadu,2016,10,11
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,South,2355.0,0.26,918.45,Tamil Nadu,2016,10,11
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,West,2305.0,0.26,322.7,Tamil Nadu,2015,6,9
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,West,826.0,0.33,346.92,Tamil Nadu,2015,6,9
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,West,1847.0,0.32,147.76,Tamil Nadu,2015,6,9
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,West,791.0,0.23,181.93,Tamil Nadu,2015,6,9
OD10,Krithika,Bakery,Cakes,Chennai,West,1795.0,0.27,484.65,Tamil Nadu,2015,6,9
OD11,Ganesh,Snacks,Chocolates,Karur,West,1903.0,0.13,437.69,Tamil Nadu,2015,6,9
OD13,Sharon,Snacks,Cookies,Dindigul,South,1659.0,0.19,315.21,Tamil Nadu,2018,4,15
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,West,1277.0,0.25,63.85,Tamil Nadu,2017,12,5
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,Central,1440.0,0.11,100.8,Tamil Nadu,2016,11,22
OD17,Alan,Bakery,Cakes,Dharmapuri,Central,1678.0,0.28,318.82,Tamil Nadu,2015,11,11
OD18,Arutra,Beverages,Health Drinks,Bodi,West,1617.0,0.19,113.19,Tamil Nadu,2015,5,13
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,West,692.0,0.29,159.16,Tamil Nadu,2015,8,27
OD21,Hafiz,Beverages,Health Drinks,Vellore,West,522.0,0.19,208.8,Tamil Nadu,2015,8,27
OD22,Alan,Food Grains,Dals & Pulses,Karur,Central,948.0,0.13,47.4,Tamil Nadu,2017,12,9
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,Central,707.0,0.34,148.47,Tamil Nadu,2017,12,9
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,East,969.0,0.29,77.52,Tamil Nadu,2018,7,16
OD26,Krithika,Snacks,Chocolates,Tirunelveli,West,2022.0,0.11,202.2,Tamil Nadu,2017,1,16
OD27,Muneer,Snacks,Cookies,Trichy,West,541.0,0.12,43.28,Tamil Nadu,2017,1,16
OD28,Jackson,Bakery,Biscuits,Viluppuram,East,979.0,0.22,401.39,Tamil Nadu,2016,9,17
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,East,1988.0,0.22,874.72,Tamil Nadu,2016,9,17
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,East,989.0,0.17,69.23,Tamil Nadu,2016,9,17
